Pianist,KnotIndex,X,Y,Z,Velocity,RubatoDevS
Gieseking,265,-74.3449,173.7531,530.0,0.3465,82.2833
Gieseking,266,-227.2284,49.6162,532.0,0.3465,82.35
Gieseking,267,-24.3614,175.0796,534.0,0.3701,82.8667
Gieseking,268,-45.1272,176.6442,536.0,0.3543,83.5833
Gieseking,269,64.4384,129.0562,538.0,0.3622,84.2
Gieseking,270,-239.2229,-11.1297,540.0,0.3622,84.4167
Gieseking,271,94.1718,88.3604,542.0,0.3465,84.7833
Gieseking,272,119.3298,43.3612,544.0,0.3858,85.45
Gieseking,273,13.6903,166.4688,546.0,0.3622,86.2667
Gieseking,274,-227.0485,-73.0945,548.0,0.3622,86.4833
Gieseking,275,-52.3515,-183.4516,550.0,0.3701,86.55
Gieseking,276,-150.5411,165.7046,552.0,0.4016,86.9167
Gieseking,277,-100.3185,182.9697,554.0,0.3858,87.5833
Gieseking,278,-154.596,-163.4281,556.0,0.3937,87.8
Gieseking,279,-190.0289,144.2183,558.0,0.4252,88.2667
Gieseking,280,-200.4731,-134.2927,560.0,0.4252,88.3833
Gieseking,281,-205.702,127.862,562.0,0.4173,88.9
Gieseking,282,-219.4303,109.8844,564.0,0.4094,89.6167
Gieseking,283,-144.4961,-171.6461,566.0,0.3858,90.5333
Gieseking,284,127.1521,16.6204,568.0,0.3543,91.5
Gieseking,285,-29.2609,184.141,570.0,0.3386,92.3667
Gieseking,286,-80.2352,-188.3924,572.0,0.3543,92.6833
Gieseking,287,-245.4098,3.5953,574.0,0.3228,93.2
Gieseking,288,38.016,-168.5865,576.0,0.378,94.1667
Gieseking,289,-12.4934,-191.2731,578.0,0.3858,94.8333
Gieseking,290,-242.5703,-62.7502,580.0,0.3543,95.35
Gieseking,291,132.1008,78.8434,582.0,0.4488,95.6667
Gieseking,292,-251.2541,-9.1623,584.0,0.3386,95.9333
Gieseking,293,91.9824,-126.3907,586.0,0.378,96.15
Gieseking,294,122.2477,101.053,588.0,0.4488,96.2167
Gieseking,295,-246.8488,44.7983,590.0,0.3386,96.4333
Gieseking,296,53.6325,-168.2941,592.0,0.4094,96.65
Gieseking,297,-176.3512,152.3254,594.0,0.3307,96.9667
Gieseking,298,-212.6537,-123.8242,596.0,0.3622,97.0833
Gieseking,299,3.0098,-196.2294,598.0,0.4252,97.15
Gieseking,300,21.2709,176.7918,600.0,0.3465,97.3667
Gieseking,301,-54.3728,-204.4405,602.0,0.4094,97.7333
Gieseking,302,66.3976,145.8481,604.0,0.3307,97.95
Gieseking,303,-178.6474,-154.2506,606.0,0.3386,98.2667
Gieseking,304,97.7761,-114.1846,608.0,0.3386,98.3833
Gieseking,305,48.2884,159.2191,610.0,0.3228,98.5
Gieseking,306,-160.8457,-168.6746,612.0,0.3465,98.8167
Gieseking,307,129.7067,56.6834,614.0,0.3543,99.0333
Gieseking,308,-208.8586,-138.3312,616.0,0.3858,99.4
Gieseking,309,-143.2208,-185.339,618.0,0.3858,99.3667
Gieseking,310,-205.1207,131.0326,620.0,0.3307,99.8333
Gieseking,311,-39.9043,-211.3969,622.0,0.4409,100.05
Gieseking,312,136.4433,-55.6425,624.0,0.3858,100.1167
Gieseking,313,-169.2859,176.9828,626.0,0.4094,100.3333
Gieseking,314,142.4284,-32.5027,628.0,0.3858,100.75
Gieseking,315,104.3671,122.5818,630.0,0.3858,100.7667
Gieseking,316,-152.303,-180.9958,632.0,0.3701,101.1333
Gieseking,317,-57.2054,211.9143,634.0,0.4252,101.5
Gieseking,318,-50.8275,-202.7013,636.0,0.3622,101.8167
Gieseking,319,146.0366,15.3625,638.0,0.3858,101.9333
Gieseking,320,-266.3802,-27.5762,640.0,0.3937,102.25
Gieseking,321,48.5139,165.7876,642.0,0.3228,102.6667
Gieseking,322,1.1948,-213.7365,644.0,0.4803,103.0833
Gieseking,323,-263.9379,6.8424,646.0,0.3543,103.55
Gieseking,324,126.3591,84.3134,648.0,0.3543,103.9167
Gieseking,325,-71.3788,210.2318,650.0,0.3937,103.9833
Gieseking,326,40.5813,-178.7736,652.0,0.3543,104.35
Gieseking,327,-230.8339,-116.8964,654.0,0.3622,104.8667
Gieseking,328,-188.0872,155.9227,656.0,0.3228,105.3833
Gieseking,329,93.0476,149.9911,658.0,0.4016,105.9
Gieseking,330,-141.5857,190.5643,660.0,0.3543,105.9667
Gieseking,331,-180.5567,-168.775,662.0,0.3465,106.9333
Gieseking,332,146.9539,-15.3933,664.0,0.3386,107.9
Gieseking,333,29.377,187.392,666.0,0.3386,107.9667
Gieseking,334,-259.5773,61.5226,668.0,0.3386,108.8833
Gieseking,335,-268.9114,-21.1676,670.0,0.3465,108.85
Gieseking,336,-270.8692,38.8527,672.0,0.3701,109.5167
Gieseking,337,-279.634,14.3828,674.0,0.4016,110.2333
Gieseking,338,140.9568,-60.0053,676.0,0.3228,111.3
Gieseking,339,110.7639,123.6311,678.0,0.3228,112.1167
Gieseking,340,-113.374,204.0438,680.0,0.3228,112.1833
Gieseking,341,-214.9525,-160.1421,682.0,0.3937,113.15
Gieseking,342,-234.5418,141.5263,684.0,0.4016,113.6667
Gieseking,343,64.7775,184.8723,686.0,0.3858,114.1833
Gieseking,344,-187.1451,183.3609,688.0,0.3858,114.25
Gieseking,345,-274.5327,10.2387,690.0,0.3228,115.0667
Gieseking,346,-199.3445,-164.8757,692.0,0.3228,115.8833
Gieseking,347,-237.0023,124.7829,694.0,0.3228,116.4
Gieseking,348,56.8801,201.1163,696.0,0.4252,116.9167
Gieseking,349,152.2684,-99.6306,698.0,0.4331,117.4333
Gieseking,350,115.7602,-154.7839,700.0,0.4252,118.1
